Group,SeaBirds,Pinnipeds,BaleenWhales,Odontocetes,HMS,Sharks,AtlHerring,AtlMackerel,RiverHerring,Butterfish,SmPelagics,Mesopelagics,OtherPelagics,Cod,Haddock,Goosefish,SilverHake,RedHake,WhiteHake,Redfish,Pollock,OceanPout,BlackSeaBass,Bluefish,Scup,OtherDemersals,SouthernDemersals,Fourspot,SummerFlounder,AmPlaice,Windowpane,WinterFlounder,WitchFlounder,YTFlounder,SmFlatfishes,SpinyDogfish,SmoothDogfish,Barndoor,WinterSkate,LittleSkate,OtherSkates,Illex,Loligo,OtherCephalopods,AmLobster,Macrobenthos,Megabenthos,AtlScallop,OceanQuahog,SurfClam,OtherShrimps,Krill,Micronekton,GelZooplankton,Microzooplankton,Bacteria,LgCopepods,SmCopepods,Phytoplankton
SeaBirds,NA,NA,NA,NA,NA,0.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pinnipeds,NA,NA,NA,NA,NA,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BaleenWhales,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odontocetes,NA,NA,NA,NA,NA,0.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HMS,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sharks,NA,NA,NA,NA,NA,0.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AtlHerring,0.0188,0.0082,0.0093,0.0138,0.0081,0.0131,NA,NA,NA,NA,NA,NA,0.0348,0.0878,0.011,0.0564,0.3086,0.0023,0.0574,NA,0.1325,NA,NA,0.2263,NA,0.0066,0.0066,NA,0.0315,NA,NA,NA,NA,NA,NA,0.05245,2e-4,0.0119,0.0118,1e-4,0.0208,0.001,0.001,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,3e-4,NA,NA,NA,NA,NA
AtlMackerel,1.3e-4,5.9999999999999995e-5,7e-5,1e-4,5.9999999999999995e-5,8.999999999999999e-5,NA,NA,NA,NA,NA,NA,2.3999999999999998e-4,2.3e-4,NA,0.00371,0.0050999999999999995,NA,0.00108,NA,2.3999999999999998e-4,NA,NA,0.00101,NA,5e-5,5e-5,NA,0.0036999999999999997,NA,NA,NA,NA,NA,NA,1.15e-4,NA,NA,1.7999999999999998e-4,NA,NA,1e-5,1e-5,1e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RiverHerring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Butterfish,0.2918,0.1272,0.1451,0.2141,0.1263,0.203,NA,0.0036,NA,NA,NA,NA,0.5398,6e-4,0.002,0.0035,0.0219,NA,0.0043,NA,0.0625,NA,0.0161,0.0274,NA,0.1029,0.1029,0.0031,0.0221,NA,1e-4,NA,NA,NA,NA,0.00205,NA,NA,0.0021,3e-4,NA,0.015,0.015,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001,NA,NA,NA,NA,NA
