Group,Type,Biomass,PB,QB,EE,ProdCons,BioAcc,Unassim,DetInput,Detritus,Scallop Dredge,Clam Dredge,Other Dredge,Fixed Gear,Pelagic,Trap,SM Mesh,LG Mesh,HMS Fleet,Scallop Dredge.disc,Clam Dredge.disc,Other Dredge.disc,Fixed Gear.disc,Pelagic.disc,Trap.disc,SM Mesh.disc,LG Mesh.disc,HMS Fleet.disc
SeaBirds,0,0.015,0.275,76.2,NA,NA,0,0.2,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pinnipeds,0,0.035,0.07,4.85,NA,NA,0,0.2,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BaleenWhales,0,0.416,0.03802086,4.5,NA,NA,0,0.2,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odontocetes,0,0.122,0.04,13.82976,NA,NA,0,0.2,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMS,0,0.035,0.682623,2.3,NA,NA,0,0.2,NA,1,0,0,0,1.4280261181119521e-5,0,0,5.012361943611537e-7,0,6.78331653124684e-5,0,0,0,0,0,0,0,0,0
Sharks,0,0.024,0.13,0.62,NA,NA,0,0.2,NA,1,0,0,0,2.4298214782641524e-4,4.1653274354842436e-5,0,3.2943976924879247e-6,1.5839212851317596e-6,6.564029452499595e-5,0,0,0,0,0,0,0,0,0
AtlHerring,0,2.0537776570116346,1.4,3.7,NA,NA,0,0.2,NA,1,0,0,0,3.888603212594967e-5,0.001572439801478216,0,0,3.0603265970599185e-4,0,0,0,0,0,0,0,0,0,0
AtlMackerel,0,0.05523140564400898,0.55,2.17,NA,NA,0,0.2,NA,1,0,0,0,0.002689463201392597,0.0025774390433581816,5.8605928316750465e-6,5.916995009019481e-4,2.818106377770885e-4,3.9281441484311015e-9,0,0,0,0,0,0,0,0,0
RiverHerring,0,0.015734212335000337,1.3,9.4,NA,NA,0,0.2,NA,1,0,0,0,1.5859717559750352e-5,4.0105824847547486e-5,0,6.238737074038352e-6,1.1493381843634455e-6,0,0,0,0,0,0,0,0,0,0
Butterfish,0,2.146504988313942,1.312,4.23,NA,NA,0,0.2,NA,1,1.3070673091677252e-4,0,0,7.854493516072226e-4,0.001670546775905948,2.7619442022983954e-4,0.010573806744375084,6.014838845105816e-4,0,0,0,0,0,0,0,0,0,0
SmPelagics,0,NA,2,5.39,0.8,NA,0,0.2,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mesopelagics,0,NA,1.6500000000000001,3.7,0.8,NA,0,0.2,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
