Group,Type,Biomass,PB,QB,EE,ProdCons,BioAcc,Unassim,DetInput,Detritus,Fixed Gear,LG Mesh,HMS Fleet,Scallop Dredge,Trap,Other Dredge,Other,Clam Dredge,Pelagic,SM Mesh,Recreational,PurseSeine,Fixed Gear.disc,LG Mesh.disc,HMS Fleet.disc,Scallop Dredge.disc,Trap.disc,Other Dredge.disc,Other.disc,Clam Dredge.disc,Pelagic.disc,SM Mesh.disc,Recreational.disc,PurseSeine.disc
AmLobster,0,0.08188272954579383,1.5,15.533,NA,NA,0,0.3,NA,1,2.3849446270946468e-5,4.6688900358433165e-5,0,8.438100718706985e-6,0.016393573158676802,1.110844418999711e-6,0,2.0270366390086234e-8,0,1.847552206505754e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RiverHerring,0,0.10557118527299024,1.3,9.4,NA,NA,0,0.2,NA,1,4.688738449690847e-5,8.797339013297425e-7,0,0,0,0,1.2973034489655189e-5,0,1.5602506417777175e-4,9.730383978233094e-5,4.3034771442988484e-5,0,0,0,0,0,0,0,0,0,0,0,0,0
AtlCroaker,0,0.6785268180970451,1.02,3.727232558,NA,NA,0.029141369,0.2,NA,1,2.9594734929525903e-7,7.957335030092248e-5,0,0,3.243258622413797e-8,0,0,0,5.91894698590518e-6,2.9824534040383944e-4,0.0030857480843705957,0,0,0,0,0,0,0,0,0,0,0,0,0
AtlMackerel,0,0.3253308359323001,0.69,2.17,NA,NA,0,0.2,NA,1,0.0021204951321652484,0.003827299131506588,0,6.188542858893327e-6,1.4508508540361992e-6,2.0270366390086232e-7,0,0,0.002321451169676938,0.010395120061048261,0.013769287105969811,0,0,0,0,0,0,0,0,0,0,0,0,0
AtlScallop,0,0.286514038841717,1.5,6.66,NA,NA,0.015226466,0.3,NA,1,0,1.2978318266894354e-4,0,0.02846435785612277,2.151496688643753e-5,0,0,1.3471685502851312e-5,2.4312614692439134e-5,1.9300908666566662e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,0,7.157778,91.25,380.2082,NA,NA,0,0.2,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BaleenWhales,0,0.16,0.06,4.308693137,NA,NA,0,0.2,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BlackSeaBass,0,0.128363685158036,0.5,1.66,NA,NA,0,0.2,NA,1,3.129169117757013e-4,4.375934527977787e-4,0,2.3751121792724966e-6,0.0018197845334466819,0,1.216221983405174e-7,0,7.610636130485974e-7,0.005552836200853492,0.015532696517660455,0,0,0,0,0,0,0,0,0,0,0,0,0
Bluefish,0,0.9790211264182481,0.6,3.5,NA,NA,0,0.2,NA,1,0.005055349495417279,0.0014483415989582375,0,4.5946163817528794e-8,4.783806468060351e-7,0,0,0,6.430283144986908e-4,0.003926582652534272,0.3079274885555382,0,0,0,0,0,0,0,0,0,0,0,0,0
Butterfish,0,2.1185558268561215,1.64,4.23,NA,NA,0,0.2,NA,1,8.236348922087402e-4,0.013177014060008806,0,5.716243322004318e-7,0.0031934555407569275,4.0540732780172465e-7,7.082466016696131e-5,0,1.4020315861950442e-5,0.04944918354362095,4.089327256082105e-6,0,0,0,0,0,0,0,0,0,0,0,0,0
Cod,0,0.041902165720399585,0.4,1.2,NA,NA,-0.05,0.2,NA,1,0.0028462924785891343,0.009644064294120857,0,2.533320177765853e-5,7.892182227692336e-6,0,0,0,1.936684451537554e-6,0.0046383988214798565,0.04094186615210211,0,0,0,0,0,0,0,0,0,0,0,0,0
Fourspot,0,0.27861042501940464,0.45,1.61,NA,NA,0,0.2,NA,1,0,1.9991627912886465e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GelZooplankton,0,0.4683606,35,146,NA,NA,0,0.2,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goosefish,0,0.46739246584778654,0.4,1.22,NA,NA,0,0.2,NA,1,1.6887772714835987e-4,0.004641927777506764,0,0.0125872281035639,2.061253017475089e-4,7.256791167650872e-7,0,7.197804401455721e-5,1.3301653373419411e-5,0.010316362558654913,8.735321492557074e-5,0,0,0,0,0,0,0,0,0,0,0,0,0
HMS,0,0.032,0.58,2.263333333333333,NA,NA,0,0.2,NA,1,2.3555238614716853e-5,1.4228537398022613e-6,0,6.770302374288801e-7,0,0,0,0,1.9621714665603475e-6,6.397963078979342e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illex,0,0.28494332421503676,3,19,NA,NA,0,0.2,NA,1,0,4.932773390661095e-4,0,0,0,0,0,0,4.054073278017247e-8,0.023161116246348194,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LgCopepods,0,3.6655014465161235,61,148,NA,NA,0,0.4,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LittleSkate,0,0.6040877438417805,0.5,1.4,NA,NA,0,0.2,NA,1,1.7130587138061647e-5,1.3057967814432368e-4,0,6.647951208864428e-6,0,0,0,0,8.24835033414559e-8,3.5809354605341573e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loligo,0,1.801241092126709,3,19,NA,NA,0,0.2,NA,1,9.631240368415282e-4,0.0027724678323266887,0,6.056992801934357e-6,0,2.63514763071121e-7,0,0,7.2704414106286915e-6,0.028117547607215482,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macrobenthos,0,45,2.5,16.84234942,NA,NA,0,0.3,NA,1,1.0708023749226953e-4,5.635914495633437e-5,0,1.200005690293105e-6,0.0020262774462194264,0.014242540509511101,0.002333521876111208,6.949747779784571e-5,1.8648737078879336e-7,3.2180379920726613e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Megabenthos,0,7.933486,2.5,15.533,NA,NA,0,0.3,NA,1,1.9220361411079766e-5,1.572519872778724e-4,0,2.6264989410514403e-5,0.007996674816197754,5.096179570920375e-4,3.0810956912931075e-6,1.6515686423650556e-4,0,0.001778913640648654,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mesopelagics,0,NA,2.2,3.7,0.95,NA,0,0.2,NA,1,0,0,0,0,0,0,0,0,0,1.6216293112068986e-8,9.848464991647374e-6,0,0,0,0,0,0,0,0,0,0,0,0,0
Micronekton,0,3.5656190999999997,14.25,70.94690325,NA,NA,0,0.2,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microzooplankton,0,4.72086,72,242.4242482,NA,NA,0,0.4,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
